t_start,t_end,N,T,rate,lo,hi,t_mid,width_s,gap_N,gap_sum,gap_mean,gap_median,gap_p10,gap_p90,gap_p99,gap_min,gap_max,sigma_SEE
2022-11-12 09:28:53.695769600,2022-11-12 17:14:20.729072896,19474,16625366409.075836,3.660445640871915e-08,3.6092130913917427e-08,3.7122235394809315e-08,2022-11-12 13:21:37.212421248,27927.033303,13132,16637412056.819977,1266936.6476408755,566843.7358856201,236400.14229431152,1410007.5905792234,2839188.4774765037,285.567138671875,991634520.4365845,1.1713426050790127e-06
2022-11-12 17:14:20.729072896,2022-11-13 00:47:52.993699328,7631,16590946325.22647,1.437342664639986e-08,1.4052723293219661e-08,1.4699602687148259e-08,2022-11-12 21:01:06.861386112,27212.264626,6834,16593285810.727844,2428048.8455849933,629767.7235870361,260055.3895324707,1634750.3278686523,3873880.505881962,155625.69961547852,2606892997.2058716,4.5994965268479553e-07
2022-11-13 00:47:52.993699328,2022-11-13 07:43:07.787578880,2387,16625431900.499176,4.486725544721658e-09,4.308521175747596e-09,4.670407789540948e-09,2022-11-13 04:15:30.390639104,24914.793879,2238,16638644229.989197,7434604.21357873,941413.0885314941,315259.00134277344,3028818.5598846423,9946031.027088633,160360.49514770508,2704251310.3499756,1.4357521743109306e-07
2022-11-13 07:43:07.787578880,2022-11-13 14:29:52.032403200,2835,16635376319.552002,5.325623436355533e-09,5.131369919378652e-09,5.525348466973793e-09,2022-11-13 11:06:29.909991040,24404.244824,2784,16626598466.055084,5972197.724876108,966916.7992706299,489757.58244018554,2342454.8256225586,20564799.771878734,641.5108642578125,2896436361.358551,1.7041994996337707e-07
2022-11-13 14:29:52.032403200,2022-11-13 21:05:32.563456256,4390,16614268614.344849,8.257209702360992e-09,8.014737871340884e-09,8.505153232472497e-09,2022-11-13 17:47:42.297929728,23740.531053,4123,16604722952.6622,4027340.032176134,952107.945526123,469209.0728942871,2103442.952777101,4363422.734584322,231326.3705444336,2884378268.019104,2.6423071047555173e-07
2022-11-13 21:05:32.563456256,2022-11-14 04:11:00.016201728,3666,16623580279.585663,6.891565960714657e-09,6.670267083237028e-09,7.118336082401623e-09,2022-11-14 00:38:16.289828992,25527.452745,3523,16622124010.684692,4718173.150918164,946800.4353637695,458526.56426391605,2534368.285314942,8855861.140394831,139969.19897460938,1518087721.6943665,2.2053011074286902e-07
2022-11-14 04:11:00.016201728,2022-11-14 10:36:27.888388864,3761,16613659737.709534,7.074374451839088e-09,6.850069648556708e-09,7.304153381239941e-09,2022-11-14 07:23:43.952295296,23127.872187,3456,16621791209.602112,4809546.067593204,860299.4715881348,314419.71212768555,2151197.316696167,5354347.029701215,57525.95617675781,2487788634.5772705,2.263799824588508e-07
2022-11-14 10:36:27.888388864,2022-11-14 18:16:48.592259072,5460,16622206517.429016,1.0264882692986228e-08,9.994393964339496e-09,1.0540837646379515e-08,2022-11-14 14:26:38.240323968,27620.70387,4753,16624826339.085693,3497754.3318084776,690528.3082275391,259148.40363769533,1932929.1937622072,9359074.71496818,77585.08459472656,2337909466.9207153,3.284762461755593e-07
2022-11-14 18:16:48.592259072,2022-11-15 01:47:47.692169216,9093,16583161636.792786,1.7135227661868002e-08,1.6784819936763124e-08,1.7491108875191177e-08,2022-11-14 22:02:18.142214144,27059.09991,5060,16583946778.648804,3277459.837677629,585833.2722167969,234628.7567993164,1349970.8081726073,3717138.395134876,78082.86358642578,5272904932.561096,5.483272851797761e-07
2022-11-15 01:47:47.692169216,2022-11-15 09:36:38.945094656,3235,16647933733.840714,6.072450288200268e-09,5.864979280449352e-09,6.285386487591754e-09,2022-11-15 05:42:13.318631936,28131.252925,3029,16615060267.590332,5485328.579594035,997078.6987304688,407655.4564941407,2991313.7707031257,21900769.42694329,197058.3803100586,1875680348.093567,1.9431840922240857e-07
2022-11-15 09:36:38.945094656,2022-11-15 11:39:51.867738001,870,5675976.0634765625,4.7899250623949115e-06,4.476885683591834e-06,5.119081535130956e-06,2022-11-15 10:38:15.406416328,7392.922643,682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015327760199663717
